I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
58, 39, -19, -48, 39, 9, 9, 63, 78, 126, 141, 146, 
92, 63, -29, -78, 61, 17, -9, 58, 102, 156, 185, 200, 
136, 82, -53, -109, 95, 14, -34, 53, 112, 200, 248, 273, 
180, 102, -78, -141, 129, 12, -68, 53, 122, 248, 331, 370, 
239, 126, -112, -183, 175, 7, -107, 43, 68, 229, 370, 458, 
341, 165, -175, -253, 258, -4, -156, 9, 19, 180, 366, 502, 
439, 200, -239, -319, 339, -19, -224, -34, -43, 122, 331, 531, 
522, 234, -287, -378, 405, -26, -317, -161, -185, -58, 214, 502, 
600, 292, -307, -446, 453, -7, -424, -400, -380, -326, 0, 409, 
692, 356, -336, -524, 514, 9, -541, -688, -624, -644, -253, 268, 
751, 414, -336, -583, 544, 39, -658, -922, -849, -936, -468, 165, 
771, 492, -278, -631, 524, 107, -741, -1132, -1034, -1176, -668, 68, 
736, 546, -190, -641, 463, 178, -785, -1254, -1180, -1371, -829, -4, 
668, 556, -112, -612, 390, 222, -751, -1200, -1288, -1503, -927, -29, 
614, 507, -107, -561, 361, 200, -678, -1083, -1332, -1546, -966, -43, 
551, 400, -151, -475, 351, 124, -629, -995, -1312, -1522, -976, -82, 
502, 244, -258, -373, 380, -7, -527, -873, -1239, -1454, -995, -195, 
429, 68, -361, -248, 395, -146, -400, -678, -1137, -1351, -995, -351, 
322, -78, -400, -122, 361, -239, -268, -527, -1054, -1278, -1034, -561, 
214, -175, -390, -19, 302, -283, -156, -414, -966, -1195, -1049, -722, 
92, -244, -336, 75, 214, -290, -53, -283, -858, -1073, -985, -785, 
-48, -292, -244, 170, 97, -268, 68, -156, -712, -912, -878, -756, 
-151, -292, -141, 222, -4, -217, 146, -58, -575, -756, -732, -639, 
-224, -302, -78, 263, -73, -190, 175, -4, -502, -639, -624, -556, 
-234, -297, -63, 265, -85, -180, 170, 0, -444, -556, -556, -502, 
-234, -273, -39, 253, -97, -156, 170, -43, -400, -497, -497, -453, 
-229, -248, -19, 239, -104, -134, 170, -73, -356, -444, -434, -409, 
-224, -224, 0, 224, -112, -112, 146, -87, -326, -395, -370, -351, 
-190, -204, -14, 197, -87, -109, 92, -107, -307, -351, -326, -312, 
-141, -190, -48, 165, -46, -119, 53, -107, -283, -312, -297, -283, 
-102, -156, -53, 129, -24, -104, 24, -102, -248, -273, -263, -244, 
-73, -122, -48, 97, -12, -85, -4, -117, -214, -234, -224, -214, 
-68, -97, -29, 82, -19, -63, -4, -87, -151, -156, -165, -165, 
-43, -63, -19, 53, -12, -41, -4, -43, -87, -82, -107, -117, 
-39, -53, -14, 46, -12, -34, 14, 0, -43, -29, -63, -92, 
-39, -43, -4, 41, -17, -24, 29, 24, -4, 0, -29, -63, 
-39, -43, -4, 41, -17, -24, 39, 39, 4, 9, -9, -58, 
-34, -53, -19, 43, -7, -36, 39, 34, 4, 4, -14, -58, 
-29, -48, -19, 39, -4, -34, 39, 29, 0, -4, -19, -58, 
-29, -48, -19, 39, -4, -34, 39, 24, 0, -9, -29, -58, 
-29, -48, -19, 39, -4, -34, 39, 24, 4, -9, -34, -58, 
-19, -34, -14, 26, -2, -24, 39, 34, 4, 0, -24, -58, 
-19, -34, -14, 26, -2, -24, 39, 39, 4, 9, -14, -58, 
-19, -34, -14, 26, -2, -24, 39, 39, 9, 19, -4, -48, 
-19, -39, -19, 29, 0, -29, 39, 34, 14, 19, 4, -48, 
-24, -48, -24, 36, 0, -36, 48, 39, 24, 19, 4, -34, 
-24, -48, -24, 36, 0, -36, 48, 34, 24, 24, 0, -34, 
-24, -48, -24, 36, 0, -36, 48, 34, 19, 24, -4, -34, 
-24, -48, -24, 36, 0, -36, 48, 34, 19, 29, -4, -29, 
-34, -48, -14, 41, -9, -31, 39, 34, 9, 29, -4, -39, 
-34, -43, -9, 39, -12, -26, 39, 43, 24, 34, 0, -39, 
-34, -43, -9, 39, -12, -26, 39, 43, 29, 39, 14, -34, 
-34, -43, -9, 39, -12, -26, 39, 43, 29, 39, 14, -34, 
-24, -34, -9, 29, -7, -21, 39, 34, 19, 29, 14, -24, 
-24, -34, -9, 29, -7, -21, 39, 29, 19, 24, 14, -24, 
-24, -34, -9, 29, -7, -21, 34, 29, 19, 24, 9, -24, 
-24, -34, -9, 29, -7, -21, 34, 29, 14, 24, 4, -24, 
-24, -29, -4, 26, -9, -17, 34, 29, 24, 34, 4, -39, 
-24, -29, -4, 26, -9, -17, 34, 29, 29, 39, 9, -39, 
-24, -29, -4, 26, -9, -17, 39, 34, 34, 48, 19, -39, 
-24, -29, -4, 26, -9, -17, 39, 34, 34, 48, 29, -34, 
-29, -39, -9, 34, -9, -24, 39, 39, 34, 48, 34, -14, 
-29, -39, -9, 34, -9, -24, 39, 39, 34, 43, 34, -9, 
-29, -39, -9, 34, -9, -24, 39, 39, 29, 43, 29, -9, 
-29, -39, -9, 34, -9, -24, 39, 34, 24, 43, 19, -9, 
-19, -39, -19, 29, 0, -29, 39, 24, 14, 34, 19, -19, 
-19, -39, -19, 29, 0, -29, 39, 29, 24, 39, 19, -24, 
